City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Juneau AK,66,0,32,10,25,31,23,0,22,2005
Laredo TX,50,0,21,6,0,23,34,12,34,2005
Denver CO,59,13,43,10,21,30,27,15,19,2005
Colorado Springs-Pueblo CO,49,11,41,9,17,25,12,18,17,2005
Phoenix AZ,57,12,40,10,23,24,22,16,21,2005
Butte-Bozeman MT,62,19,49,12,17,44,58,30,21,2005
Great Falls MT,69,22,40,23,19,45,22,12,23,2005
"Billings, MT",59,27,68,24,33,19,37,29,28,2005
Boise ID,52,8,39,14,33,25,26,22,21,2005
Idaho Falls-Pocatello ID,57,16,46,9,19,20,22,28,18,2005
Cheyenne WY-Scottsbluff NE,65,15,52,13,22,28,23,22,20,2005
Twin Falls ID,57,27,50,10,32,24,36,32,22,2005
Missoula MT,74,14,48,16,13,43,41,19,29,2005
Rapid City SD,71,12,32,15,24,34,37,13,29,2005
El Paso TX,51,17,34,11,16,21,18,26,35,2005
Helena MT,55,15,52,11,22,32,30,14,21,2005
Casper-Riverton WY,62,18,40,9,32,45,24,27,23,2005
Salt Lake City UT,55,11,40,12,22,22,16,23,22,2005
Yuma AZ-El Centro CA,40,25,21,14,15,58,0,18,27,2005
Grand Junction-Montrose CO,52,0,65,15,22,23,37,14,25,2005
Tucson (Sierra Vista) AZ,64,9,44,9,16,35,20,18,24,2005
Albuquerque-Santa Fe NM,63,8,48,11,22,29,31,14,29,2005
Glendive MT,70,0,0,0,0,0,0,0,0,2005
Bakersfield CA,50,11,50,12,20,18,19,25,20,2005
Eugene OR,64,26,46,15,26,23,17,28,22,2005
Eureka CA,53,13,36,15,16,33,18,20,14,2005
Los Angeles CA,54,11,35,9,20,21,19,16,18,2005
Palm Springs CA,61,10,44,9,21,24,26,21,19,2005
San Francisco-Oakland-San Jose CA,57,12,39,9,16,29,24,15,18,2005
Yakima-Pasco-Richland-Kennewick WA,66,15,46,11,20,28,25,10,23,2005
Reno NV,56,6,46,10,18,22,16,18,19,2005
Medford-Klamath Falls OR,61,11,51,12,16,23,23,20,23,2005
Seattle-Tacoma WA,60,11,39,10,19,27,22,16,20,2005
Portland OR,56,14,42,10,21,25,21,18,20,2005
Bend OR,59,17,37,10,33,35,28,19,18,2005
San Diego CA,60,12,35,8,18,27,26,15,20,2005
Monterey-Salinas CA,51,12,45,10,19,35,14,17,20,2005
Las Vegas NV,52,10,35,7,24,20,23,10,18,2005
Santa Barbara-Santa Maria-San Luis Obispo CA,55,10,31,10,16,23,23,15,15,2005
Sacramento-Stockton-Modesto CA,60,13,45,10,18,29,20,19,23,2005
Fresno-Visalia CA,54,17,35,13,21,17,27,24,21,2005
Chico-Redding CA,45,10,45,11,18,13,27,38,19,2005
