location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
764,71,12,32,15,24,34,37,13,29,2005
811,56,6,46,10,18,22,16,18,19,2005
556,66,15,37,10,21,23,20,20,23,2005
573,62,9,34,12,22,30,21,20,19,2005
611,98,46,68,18,21,40,40,32,31,2005
538,64,13,46,11,18,30,25,19,22,2005
610,58,17,49,13,15,18,0,29,18,2005
862,60,13,45,10,18,29,20,19,23,2005
576,69,18,55,8,19,23,31,16,24,2005
770,55,11,40,12,22,22,16,23,22,2005
661,68,21,45,7,25,57,56,25,26,2005
641,60,12,34,8,28,28,28,14,25,2005
825,60,12,35,8,18,27,26,15,20,2005
807,57,12,39,9,16,29,24,15,18,2005
855,55,10,31,10,16,23,23,15,15,2005
507,61,11,50,10,29,17,22,18,25,2005
819,60,11,39,10,19,27,22,16,20,2005
657,55,24,38,14,58,27,0,26,21,2005
612,52,15,30,9,30,31,25,13,20,2005
624,55,15,45,16,29,21,31,28,24,2005
725,64,22,35,17,22,34,27,28,23,2005
588,59,12,45,12,19,26,22,14,17,2005
881,54,16,47,14,22,26,31,24,19,2005
619,59,15,39,13,19,19,17,22,20,2005
543,65,10,41,12,28,32,17,19,21,2005
638,57,69,31,10,17,29,25,28,19,2005
609,64,12,46,11,28,26,27,17,23,2005
555,71,19,40,14,24,33,23,26,22,2005
530,65,20,52,11,30,35,18,14,25,2005
539,69,14,45,9,31,24,25,11,19,2005
581,62,21,39,11,32,28,18,18,20,2005
547,65,18,42,13,25,20,29,33,26,2005
605,59,12,25,10,21,19,17,26,22,2005
540,63,15,50,17,7,37,21,28,19,2005
531,61,15,47,13,20,23,34,18,26,2005
789,64,9,44,9,16,35,20,18,24,2005
671,57,10,41,9,34,25,20,16,24,2005
760,57,27,50,10,32,24,36,32,22,2005
709,64,27,44,9,29,50,33,28,27,2005
526,64,42,37,10,20,39,23,29,20,2005
626,70,0,68,14,100,76,0,0,26,2005
625,54,15,37,12,15,32,22,19,21,2005
511,66,15,36,9,21,42,24,17,21,2005
549,63,0,50,9,14,53,62,11,26,2005
705,73,16,44,15,30,33,17,28,27,2005
548,62,15,35,11,30,20,18,8,18,2005
554,71,35,67,16,26,16,24,13,19,2005
627,61,55,51,8,42,30,37,27,20,2005
678,60,12,49,13,21,32,23,23,21,2005
577,64,20,50,15,23,38,32,29,21,2005
550,69,12,47,12,36,44,37,25,23,2005
810,66,15,46,11,20,28,25,10,23,2005
536,58,11,33,17,25,17,11,18,32,2005
771,40,25,21,14,15,58,0,18,27,2005
596,68,48,32,4,21,22,0,23,21,2005
662,43,38,20,21,36,36,57,32,31,2006
525,48,32,23,25,40,28,28,27,41,2006
532,52,21,22,24,31,39,41,24,39,2006
790,49,16,24,22,29,48,43,22,51,2006
644,34,42,20,24,59,100,62,21,40,2006
583,82,0,100,100,0,0,0,0,100,2006
634,46,21,22,28,20,35,29,33,41,2006
743,43,16,26,20,17,35,51,19,43,2006
524,50,21,21,20,34,36,40,19,37,2006
520,50,24,28,21,41,15,53,31,52,2006
635,44,20,22,18,31,38,44,19,35,2006
800,38,13,18,18,22,23,50,26,37,2006
512,55,26,22,24,38,53,48,26,40,2006
537,54,32,22,41,23,40,38,47,43,2006
716,45,21,27,20,34,42,42,30,39,2006
692,44,23,26,19,35,30,20,15,36,2006
821,49,18,24,18,23,52,45,20,35,2006
756,45,33,39,39,20,32,49,27,33,2006
746,42,14,31,18,26,15,28,9,31,2006
502,54,19,26,27,20,35,34,30,26,2006
630,53,31,27,21,46,43,46,29,44,2006
559,50,28,17,16,32,88,41,51,49,2006
757,42,18,24,25,29,34,41,33,39,2006
506,56,20,23,22,46,44,40,21,38,2006
736,54,23,24,22,43,23,50,68,44,2006
514,57,17,24,29,31,34,40,29,38,2006
523,55,27,22,28,36,56,44,25,40,2006
754,47,16,27,34,36,70,50,19,32,2006
767,42,29,28,33,23,23,88,32,25,2006
637,57,31,22,32,30,56,47,42,45,2006
648,58,25,23,27,20,49,32,42,46,2006
519,57,38,28,18,34,32,66,24,48,2006
564,52,28,30,23,31,35,55,23,51,2006
517,47,15,23,23,36,32,44,26,38,2006
584,46,18,24,20,34,49,45,24,40,2006
575,48,17,23,23,33,38,40,23,44,2006
759,41,21,20,26,15,27,27,34,31,2006
602,50,20,21,21,32,33,43,21,36,2006
868,44,10,28,24,30,33,28,29,32,2006
515,51,19,23,23,29,37,41,22,42,2006
598,52,15,14,28,29,53,25,30,41,2006
510,50,20,22,22,30,31,48,21,38,2006
752,41,14,23,20,25,30,39,24,34,2006
546,51,26,22,24,41,26,40,28,43,2006
604,58,30,24,28,33,57,24,40,46,2006
522,53,24,21,23,20,47,35,35,49,2006
535,53,19,21,22,29,38,42,25,38,2006
673,50,33,20,24,38,49,83,50,39,2006
600,42,18,25,17,26,20,31,27,55,2006
623,44,20,22,19,36,32,40,19,39,2006
682,52,29,27,23,31,33,40,23,41,2006
542,49,11,23,24,30,33,48,24,40,2006
751,45,15,21,20,28,37,43,20,33,2006
679,50,15,22,27,24,45,40,34,42,2006
505,52,21,23,24,27,34,38,25,36,2006
606,43,17,38,19,48,14,38,30,27,2006
676,52,19,25,33,31,57,32,35,42,2006
765,40,24,18,24,19,40,18,42,47,2006
565,42,20,17,17,16,76,40,29,39,2006
516,61,23,29,32,21,43,52,38,47,2006
801,45,16,23,24,29,49,30,28,39,2006
802,43,0,23,39,34,26,24,29,46,2006
649,52,12,20,23,53,40,38,27,49,2006
745,39,12,22,16,8,65,17,21,41,2006
724,51,24,26,28,27,47,61,34,51,2006
513,50,22,26,28,19,33,38,30,33,2006
570,46,20,24,31,27,33,25,20,47,2006
866,42,15,20,21,26,25,30,40,35,2006
571,58,15,25,16,29,23,40,22,37,2006
670,44,19,19,25,28,32,19,21,37,2006
509,51,17,26,26,24,48,37,26,38,2006
592,55,30,33,23,47,53,50,39,43,2006
798,100,0,0,0,0,0,0,0,0,2006
773,48,22,14,27,29,31,67,35,34,2006
563,48,20,24,27,28,37,36,26,37,2006
755,44,22,42,34,16,60,50,31,40,2006
658,48,15,22,27,22,34,37,25,38,2006
518,54,20,22,21,35,33,45,30,43,2006
545,46,25,29,23,41,44,35,39,50,2006
567,49,20,21,21,31,36,47,21,38,2006
647,74,0,65,33,0,83,0,51,86,2006
636,43,32,21,22,15,18,37,33,44,2006
566,53,20,25,25,39,36,42,24,40,2006
569,55,24,33,32,50,48,32,44,40,2006
533,52,19,25,25,35,46,45,27,40,2006
710,46,21,10,29,39,50,46,58,41,2006
766,52,20,25,21,27,57,78,28,43,2006
744,41,15,27,18,21,37,42,27,36,2006
618,54,23,23,18,26,36,40,19,38,2006
691,47,16,19,18,33,32,35,21,39,2006
758,45,13,28,35,27,49,29,52,44,2006
527,54,26,25,25,28,37,46,32,48,2006
718,46,25,20,26,35,30,44,32,47,2006
639,40,16,24,18,27,24,66,16,33,2006
561,49,20,20,19,43,32,44,18,38,2006
574,48,12,21,27,29,33,39,53,32,2006
734,51,29,17,25,61,35,33,40,28,2006
603,43,19,24,23,11,32,34,40,31,2006
747,56,0,41,9,39,29,41,0,51,2006
616,51,19,25,21,32,36,42,23,39,2006
557,48,12,20,22,40,42,39,27,39,2006
702,47,19,23,29,24,43,43,31,40,2006
582,52,39,31,27,14,38,27,48,37,2006
642,39,39,25,21,40,27,32,20,29,2006
643,54,34,16,15,56,69,51,34,38,2006
551,57,29,25,25,26,47,50,37,39,2006
749,33,25,12,16,12,0,38,26,45,2006
839,41,15,20,18,28,23,37,17,32,2006
541,62,38,25,33,29,43,29,66,50,2006
558,45,0,41,21,16,33,83,25,35,2006
722,49,17,23,32,32,31,34,38,42,2006
693,49,21,23,21,40,49,41,30,48,2006
803,39,14,18,17,25,28,37,22,30,2006
529,50,22,24,21,39,35,38,27,38,2006
651,46,26,25,21,48,44,29,30,40,2006
503,44,24,23,18,39,50,46,29,39,2006
669,56,16,25,25,25,45,36,23,38,2006
737,53,15,23,36,20,18,59,47,38,2006
553,48,16,34,32,19,41,52,36,31,2006
813,44,13,25,23,20,33,29,24,37,2006
640,51,37,23,20,36,35,55,25,39,2006
711,71,100,21,26,79,54,100,100,16,2006
528,43,20,19,16,29,30,30,17,34,2006
617,49,21,24,23,23,40,44,24,39,2006
613,50,23,23,23,24,36,42,26,38,2006
687,56,22,28,39,40,52,48,29,45,2006
762,41,13,28,22,27,48,43,35,39,2006
686,49,17,21,20,30,31,40,22,37,2006
628,54,43,22,31,16,41,26,60,57,2006
828,41,20,22,22,22,39,27,32,38,2006
698,48,26,19,27,40,41,65,35,45,2006
659,52,23,23,25,41,41,45,28,47,2006
622,43,22,25,22,28,37,30,18,36,2006
